species_group,cover_type,dbh_cm,tally,stand_table,relative_frequency,bin_width_cm
auf,f,10.0,2375.0,59375.0,0.10393873085339168,2.0
auf,f,12.0,1525.0,38125.0,0.06673960612691467,2.0
auf,f,14.0,1150.0,28750.0,0.05032822757111598,2.0
auf,f,16.0,875.0,21875.0,0.038293216630196934,2.0
auf,f,18.0,700.0,17500.0,0.030634573304157548,2.0
auf,f,20.0,725.0,18125.0,0.03172866520787746,2.0
auf,f,22.0,400.0,10000.0,0.0175054704595186,2.0
auf,f,24.0,275.0,6875.0,0.012035010940919038,2.0
auf,f,26.0,550.0,13750.0,0.024070021881838075,2.0
auf,f,28.0,375.0,9375.0,0.016411378555798686,2.0
auf,f,30.0,675.0,16875.0,0.02954048140043764,2.0
auf,f,32.0,275.0,6875.0,0.012035010940919038,2.0
auf,f,34.0,250.0,6250.0,0.010940919037199124,2.0
auf,f,36.0,225.0,5625.0,0.009846827133479213,2.0
auf,f,38.0,325.0,8125.0,0.014223194748358862,2.0
auf,f,40.0,125.0,3125.0,0.005470459518599562,2.0
auf,f,42.0,50.0,1250.0,0.002188183807439825,2.0
auf,f,44.0,175.0,4375.0,0.007658643326039387,2.0
auf,f,46.0,100.0,2500.0,0.00437636761487965,2.0
auf,f,48.0,75.0,1875.0,0.0032822757111597373,2.0
auf,f,50.0,125.0,3125.0,0.005470459518599562,2.0
auf,f,52.0,25.0,625.0,0.0010940919037199124,2.0
auf,f,56.0,25.0,625.0,0.0010940919037199124,2.0
auf,f,58.0,25.0,625.0,0.0010940919037199124,2.0
auf,m,10.0,1700.0,42500.0,0.09941520467836257,2.0
auf,m,12.0,1475.0,36875.0,0.08625730994152046,2.0
auf,m,14.0,950.0,23750.0,0.05555555555555555,2.0
auf,m,16.0,1000.0,25000.0,0.05847953216374269,2.0
auf,m,18.0,525.0,13125.0,0.03070175438596491,2.0
auf,m,20.0,600.0,15000.0,0.03508771929824561,2.0
auf,m,22.0,475.0,11875.0,0.027777777777777776,2.0
auf,m,24.0,350.0,8750.0,0.02046783625730994,2.0
auf,m,26.0,475.0,11875.0,0.027777777777777776,2.0
auf,m,28.0,300.0,7500.0,0.017543859649122806,2.0
auf,m,30.0,125.0,3125.0,0.007309941520467836,2.0
auf,m,32.0,75.0,1875.0,0.0043859649122807015,2.0
auf,m,34.0,125.0,3125.0,0.007309941520467836,2.0
auf,m,36.0,25.0,625.0,0.0014619883040935672,2.0
auf,m,38.0,100.0,2500.0,0.005847953216374269,2.0
auf,m,40.0,150.0,3750.0,0.008771929824561403,2.0
auf,m,44.0,50.0,1250.0,0.0029239766081871343,2.0
auf,m,48.0,25.0,625.0,0.0014619883040935672,2.0
auf,m,54.0,25.0,625.0,0.0014619883040935672,2.0
auf,r,10.0,400.0,10000.0,0.11764705882352941,2.0
auf,r,12.0,625.0,15625.0,0.18382352941176472,2.0
auf,r,14.0,350.0,8750.0,0.10294117647058823,2.0
auf,r,16.0,100.0,2500.0,0.029411764705882353,2.0
auf,r,18.0,125.0,3125.0,0.03676470588235294,2.0
auf,r,22.0,25.0,625.0,0.007352941176470588,2.0
auf,r,26.0,25.0,625.0,0.007352941176470588,2.0
